,sub_categories,menu_id,restaurant_id
0,12001,1,1001
8,12002,1,1001
12,12003,1,1001
16,12004,1,1001
25,12005,1,1002
64,12006,1,1002
83,12007,1,1002
99,12008,1,1002
103,12009,1,1002
119,12010,1,1002
123,12011,1,1002
145,12012,1,1002
149,12001,1,1003
158,12013,1,1003
175,12014,1,1003
179,12015,1,1003
181,12016,1,1003
194,12017,1,1003
197,12018,1,1003
200,12019,1,1003
299,12020,1,1004
314,12021,1,1004
321,12022,1,1004
337,12023,1,1005
351,12024,1,1005
360,12025,1,1005
368,12026,1,1005
381,12027,1,1005
383,12011,1,1005
394,12028,1,1005
422,12029,1,1005
426,12030,1,1006
428,12031,1,1006
436,12032,1,1006
440,12033,1,1006
442,12034,1,1006
448,12035,1,1006
472,12036,1,1006
475,12037,1,1006
476,12038,1,1006
479,12019,1,1006
485,12001,1,1007
494,12039,1,1007
495,12040,1,1007
498,12041,1,1007
500,12042,1,1007
532,12043,1,1007
534,12044,1,1008
544,12045,1,1008
589,12046,1,1008
622,12039,1,1008
632,12003,1,1008
640,12047,1,1008
650,12048,1,1008
656,12015,1,1008
659,12049,1,1008
673,12037,1,1008
676,12050,1,1008
690,12051,1,1009
694,12052,1,1009
697,12053,1,1009
700,12054,1,1009
709,12029,1,1009
710,12055,1,1009
717,12003,1,1009
718,12056,1,1009
741,12057,1,1009
742,12058,1,1009
747,12059,1,1009
750,12037,1,1009
753,12060,1,1009
755,12061,1,1009
756,12062,1,1010
768,12063,1,1010
769,12064,1,1010
775,12065,1,1010
776,12066,1,1010
777,12067,1,1010
778,12068,1,1010
782,12069,1,1010
787,12011,1,1010
798,12070,1,1011
815,12071,1,1011
830,12072,1,1011
901,12003,1,1011
907,12073,1,1012
918,12015,1,1012
924,12074,1,1012
974,12075,1,1013
978,12076,1,1013
982,12077,1,1013
990,12078,1,1013
1002,12079,1,1013
1006,12080,1,1013
1013,12081,1,1013
1016,12082,1,1013
1022,12083,1,1013
1048,12084,1,1013
1069,12085,1,1013
1076,12086,1,1013
1147,12087,1,1013
1163,12088,1,1013
1179,12089,1,1013
1183,12090,1,1013
1197,12091,1,1013
1206,12092,1,1013
1217,12048,1,1013
1243,12011,1,1013
1249,12093,1,1014
1260,12094,1,1014
1264,12095,1,1014
1266,12096,1,1014
1269,12015,1,1014
1273,12003,1,1014
1278,12097,1,1014
1283,12098,1,1014
1287,12099,1,1014
1289,12100,1,1014
1296,12101,1,1014
1300,12039,1,1014
1307,12102,1,1014
1314,12103,1,1014
1317,12104,1,1014
1323,12037,1,1014
1328,12105,1,1015
1344,12106,1,1015
1363,12011,1,1015
1371,12107,1,1015
1377,12037,1,1015
1410,12108,1,1015
