,reservation_id,no of people,time ,date,restaurant_id,user_id
0,9001,5.0,18:23:45,2022-01-09,1007,2069
1,9002,6.0,19:12:23,2022-01-10,1008,2029
2,9003,3.0,20:23:45,2022-01-11,1006,2041
3,9004,4.0,21:13:25,2022-05-12,1005,2025
4,9005,6.0,22:23:37,2022-05-13,1006,2071
5,9006,5.0,23:23:12,2022-05-14,1007,2006
6,9007,2.0,18:23:25,2022-05-15,1001,2016
7,9008,4.0,18:23:45,2022-05-16,1008,2098
8,9009,5.0,19:22:27,2022-05-17,1005,2007
9,9010,6.0,20:25:45,2022-12-04,1002,2081
10,9011,3.0,21:23:32,2022-12-05,1008,2027
11,9012,7.0,22:23:45,2022-12-06,1001,2090
12,9013,2.0,23:34:23,2022-12-07,1015,2061
13,9014,4.0,18:23:34,2022-12-08,1008,2068
14,9015,3.0,19:23:46,2022-12-09,1010,2085
15,9016,5.0,20:22:45,2022-12-10,1009,2083
16,9017,3.0,21:23:12,2022-12-11,1003,2008
17,9018,6.0,22:23:45,2022-05-16,1007,2076
18,9019,4.0,23:29:45,2021-02-14,1002,2073
19,9020,5.0,11:23:12,2022-02-14,1007,2018
20,9021,7.0,15:23:45,2022-05-17,1004,2074
21,9022,3.0,16:23:14,2022-12-04,1001,2003
22,9023,4.0,17:23:45,2022-08-15,1014,2087
23,9024,5.0,18:23:25,2022-08-15,1008,2048
24,9025,2.0,19:23:45,2021-09-08,1004,2015
25,9026,3.0,20:23:52,2022-12-07,1013,2010
26,9027,5.0,21:14:45,2022-12-09,1009,2072
27,9028,4.0,22:23:54,2022-09-12,1010,2043
28,9029,5.0,23:23:47,2022-05-12,1006,2083
