,review_id,review_comment,review_likes,user_rating,date_posted,restaurant_id,user_id
0,6001,Wow... Loved this place.,1,3.8,2022-06-13,1011,2094
1,6002,Crust is not good.,0,2.5,2022-03-02,1006,2039
2,6003,Not tasty and the texture was just nasty.,0,2.5,2021-12-09,1005,2006
3,6004,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,3.2,2021-04-07,1004,2013
4,6005,The selection on the menu was great and so were the prices.,1,4.1,2021-02-23,1010,2063
5,6006,Now I am getting angry and I want my damn pho.,0,1.3,2022-08-05,1002,2091
6,6007,Honeslty it didn't taste THAT fresh.),0,2.0,2021-03-20,1006,2091
7,6008,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,1.6,2021-12-18,1004,2024
8,6009,The fries were great too.,1,3.0,2021-11-19,1005,2058
9,6010,A great touch.,1,3.2,2021-08-14,1007,2060
10,6011,Service was very prompt.,1,4.5,2021-12-13,1006,2067
11,6012,Would not go back.,0,1.2,2021-05-05,1003,2074
12,6013,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,1.6,2021-02-10,1011,2052
13,6014,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,3.5,2022-02-04,1008,2096
14,6015,I was disgusted because I was pretty sure that was human hair.,0,1.7,2022-07-30,1008,2011
15,6016,I was shocked because no signs indicate cash only.,0,1.2,2021-11-16,1013,2011
16,6017,Highly recommended.,1,2.6,2021-11-11,1002,2011
17,6018,Waitress was a little slow in service.,0,2.2,2021-06-20,1001,2096
18,6019,"This place is not worth your time, let alone Vegas.",0,2.0,2021-05-28,1009,2008
19,6020,did not like at all.,0,1.6,2021-04-03,1015,2072
20,6021,The Burrittos Blah!,0,1.9,2021-03-07,1006,2035
21,6022,"The food, amazing.",1,4.6,2022-08-14,1008,2016
22,6023,Service is also cute.,1,3.6,2022-10-13,1011,2050
23,6024,I could care less... The interior is just beautiful.,1,3.6,2022-09-01,1001,2082
24,6025,So they performed.,1,3.6,2022-01-08,1011,2017
25,6026,That's right....the red velvet cake.....ohhh this stuff is so good.,1,3.3,2021-11-30,1012,2076
26,6027,- They never brought a salad we asked for.,0,2.2,2022-08-01,1006,2012
27,6028,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,4.4,2022-06-29,1005,2078
28,6029,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,2.4,2022-08-03,1011,2046
29,6030,The worst was the salmon sashimi.,0,2.5,2021-11-17,1004,2046
30,6031,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,4.4,2022-11-06,1011,2096
31,6032,This was like the final blow!,0,1.8,2021-05-17,1005,2064
32,6033,I found this place by accident and I could not be happier.,1,2.6,2022-03-15,1003,2090
33,6034,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,1.7,2021-10-15,1011,2075
34,6035,"Overall, I like this place a lot.",1,3.5,2021-12-25,1013,2098
35,6036,The only redeeming quality of the restaurant was that it was very inexpensive.,1,3.1,2022-02-03,1011,2017
36,6037,Ample portions and good prices.,1,3.8,2022-11-13,1001,2046
37,6038,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,1.5,2021-05-30,1007,2054
38,6039,My first visit to Hiro was a delight!,1,4.8,2022-11-22,1010,2098
39,6040,Service sucks.,0,1.6,2021-01-19,1015,2081
40,6041,The shrimp tender and moist.,1,4.9,2022-08-20,1010,2012
41,6042,There is not a deal good enough that would drag me into that establishment again.,0,1.1,2021-04-04,1012,2094
42,6043,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,1.1,2022-02-25,1009,2024
43,6044,"On a positive note, our server was very attentive and provided great service.",1,3.4,2022-02-08,1002,2019
44,6045,"Frozen pucks of disgust, with some of the worst people behind the register.",0,1.6,2021-08-27,1006,2054
45,6046,The only thing I did like was the prime rib and dessert section.,1,3.9,2022-02-24,1011,2064
46,6047,It's too bad the food is so damn generic.,0,1.3,2022-10-02,1008,2081
47,6048,"The burger is good beef, cooked just right.",1,4.9,2021-08-26,1015,2099
48,6049,If you want a sandwich just go to any Firehouse!!!!!,1,4.5,2021-02-04,1007,2001
49,6050,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,3.1,2022-09-09,1004,2069
50,6051,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,3.9,2022-01-29,1005,2015
51,6052,He came running after us when he realized my husband had left his sunglasses on the table.,1,3.4,2021-05-28,1015,2062
52,6053,Their chow mein is so good!,1,5.0,2022-10-05,1004,2013
53,6054,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,2.5,2021-07-31,1002,2032
54,6055,The portion was huge!,1,4.6,2022-09-06,1002,2007
55,6056,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,3.3,2021-03-15,1004,2013
56,6057,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,1.6,2021-10-23,1010,2044
57,6058,Not much seafood and like 5 strings of pasta at the bottom.,0,1.7,2022-11-09,1012,2031
58,6059,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,5.0,2022-09-28,1010,2027
59,6060,"The ripped banana was not only ripped, but petrified and tasteless.",0,1.8,2021-05-08,1008,2052
60,6061,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,2.4,2021-11-25,1009,2057
61,6062,This place receives stars for their APPETIZERS!!!,1,4.7,2021-01-29,1006,2026
62,6063,The cocktails are all handmade and delicious.,1,3.4,2022-09-16,1010,2068
63,6064,We'd definitely go back here again.,1,2.8,2022-10-26,1006,2050
64,6065,We are so glad we found this place.,1,4.5,2021-01-10,1011,2013
65,6066,"Great food and service, huge portions and they give a military discount.",1,3.0,2021-12-25,1010,2094
66,6067,Always a great time at Dos Gringos!,1,3.8,2022-08-25,1005,2040
67,6068,Update.....went back for a second time and it was still just as amazing,1,4.0,2021-09-28,1011,2096
68,6069,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,1.3,2021-11-01,1001,2045
69,6070,A great way to finish a great.,1,2.8,2021-06-13,1005,2073
70,6071,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,4.8,2021-08-11,1006,2096
71,6072,"- Really, really good rice, all the time.",1,4.0,2021-02-04,1012,2035
72,6073,The service was meh.,0,1.3,2021-06-02,1010,2071
73,6074,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,1.9,2021-09-04,1010,2028
74,6075,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,1.2,2022-02-17,1009,2070
75,6076,The scallop dish is quite appalling for value as well.,0,1.9,2022-06-24,1007,2023
76,6077,2 times - Very Bad Customer Service !,0,2.0,2022-06-02,1011,2055
77,6078,The sweet potato fries were very good and seasoned well.,1,4.6,2021-08-04,1004,2087
78,6079,Today is the second time I've been to their lunch buffet and it was pretty good.,1,4.9,2021-11-03,1007,2066
79,6080,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,1.9,2022-04-14,1013,2039
80,6081,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,2.0,2021-08-12,1014,2032
81,6082,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,1.2,2021-10-14,1006,2047
82,6083,The turkey and roast beef were bland.,0,1.4,2021-11-16,1010,2069
83,6084,This place has it!,1,3.0,2021-06-18,1013,2043
84,6085,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,1.1,2021-05-03,1006,2071
85,6086,I love the Pho and the spring rolls oh so yummy you have to try.,1,3.7,2022-02-01,1002,2075
86,6087,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,1.3,2022-11-18,1015,2076
87,6088,All I have to say is the food was amazing!!!,1,3.1,2021-04-09,1007,2043
88,6089,Omelets are to die for!,1,2.8,2022-08-14,1005,2046
89,6090,Everything was fresh and delicious!,1,3.7,2021-07-18,1015,2006
90,6091,"In summary, this was a largely disappointing dining experience.",0,2.5,2022-04-19,1006,2096
91,6092,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,4.9,2021-03-27,1008,2056
92,6093,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,2.2,2021-01-23,1005,2026
93,6094,Best breakfast buffet!!!,1,3.4,2021-12-11,1013,2033
94,6095,say bye bye to your tip lady!,0,2.0,2022-08-31,1003,2093
95,6096,We'll never go again.,0,2.3,2022-08-07,1006,2042
96,6097,Will be back again!,1,4.4,2022-10-10,1007,2011
97,6098,Food arrived quickly!,1,4.3,2021-02-20,1001,2087
98,6099,It was not good.,0,1.9,2022-04-19,1008,2026
99,6100,"On the up side, their cafe serves really good food.",1,4.3,2021-01-29,1012,2017
100,6101,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,4.6,2021-09-17,1002,2006
101,6102,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,3.5,2022-10-24,1004,2083
102,6103,"Best Buffet in town, for the price you cannot beat it.",1,4.4,2022-04-20,1003,2006
103,6104,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,3.9,2022-02-22,1004,2064
104,6105,This is one of the better buffets that I have been to.,1,2.8,2021-01-16,1009,2012
105,6106,So we went to Tigerlilly and had a fantastic afternoon!,1,4.3,2021-02-09,1009,2082
106,6107,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,3.5,2022-09-30,1007,2071
107,6108,The ambience is wonderful and there is music playing.,1,3.5,2022-03-05,1012,2075
108,6109,Will go back next trip out.,1,4.9,2021-11-13,1002,2066
109,6110,Sooooo good!!,1,3.9,2021-05-16,1008,2024
110,6111,"REAL sushi lovers, let's be honest - Yama is not that good.",0,1.9,2022-10-17,1015,2050
111,6112,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,1.8,2022-07-31,1011,2060
112,6113,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,2.6,2022-01-27,1014,2079
113,6114,"Nice, spicy and tender.",1,3.7,2021-02-26,1005,2085
114,6115,Good prices.,1,3.7,2021-06-11,1001,2081
115,6116,Check it out.,1,4.3,2022-04-29,1003,2075
116,6117,It was pretty gross!,0,1.3,2022-02-07,1001,2008
117,6118,I've had better atmosphere.,0,2.0,2021-07-19,1006,2038
118,6119,Kind of hard to mess up a steak but they did.,0,2.4,2022-08-28,1004,2046
